identifier_type,identifier_value,customer_key,confidence_score,resolution_method,is_public_device,component_rep_node,component_rep_type
client_id,c-aaa,6183737,0.8500,session_linked,false,loyalty:L1001,loyalty_id
client_id,c-bbb,95698010,0.8500,session_linked,false,loyalty:L2002,loyalty_id
client_id,c-shared,49073650,0.3000,public_device_excluded,true,client:c-shared,client_id
client_id,c-solo,13345138,0.5000,device_only,false,client:c-solo,client_id
customer_id,C-pub-01,39886722,0.9000,customer_id_standalone,false,customer:C-pub-01,customer_id
customer_id,C-pub-02,2496327,0.9000,customer_id_standalone,false,customer:C-pub-02,customer_id
customer_id,C-pub-03,26272106,0.9000,customer_id_standalone,false,customer:C-pub-03,customer_id
customer_id,C-pub-04,27286997,0.9000,customer_id_standalone,false,customer:C-pub-04,customer_id
customer_id,C-pub-05,54407053,0.9000,customer_id_standalone,false,customer:C-pub-05,customer_id
customer_id,C-pub-06,41345984,0.9000,customer_id_standalone,false,customer:C-pub-06,customer_id
customer_id,C-pub-07,56418984,0.9000,customer_id_standalone,false,customer:C-pub-07,customer_id
customer_id,C-pub-08,15570479,0.9000,customer_id_standalone,false,customer:C-pub-08,customer_id
customer_id,C-pub-09,40441018,0.9000,customer_id_standalone,false,customer:C-pub-09,customer_id
customer_id,C-pub-10,91798463,0.9000,customer_id_standalone,false,customer:C-pub-10,customer_id
customer_id,C2001,6183737,1.0000,loyalty_match,false,loyalty:L1001,loyalty_id
customer_id,L1001,6183737,1.0000,loyalty_match,false,loyalty:L1001,loyalty_id
customer_id,L2002,95698010,1.0000,loyalty_match,false,loyalty:L2002,loyalty_id
loyalty_id,L1001,6183737,1.0000,component_anchor,false,loyalty:L1001,loyalty_id
loyalty_id,L2002,95698010,1.0000,component_anchor,false,loyalty:L2002,loyalty_id
